Temperature,Humidity,Weather_Type,Health_Goal,Recommended_Food,Dietary_Restriction
15,89,Overcast,Weight Loss,Kefir,Vegan
18,60,Windy,Mental Clarity,Grilled Chicken Salad,Low Sodium
29,44,Heavy Snow,Gut Health,Orange Juice,Sugar-Free
37,73,Heavy Snow,Boost Immunity,Watermelon,Low Fat
20,64,Partly Cloudy,Boost Immunity,Hot Lemon Tea,Sugar-Free
16,57,Mist,Weight Loss,Cabbage Soup,Low Carb
19,76,Hail,Boost Immunity,Cold Cucumber Soup,Sugar-Free
32,48,Partly Cloudy,Weight Loss,Mint Tea,Keto-Friendly
34,62,Thunderstorm,High Protein,Coconut Water,Vegetarian
20,70,Fog,Increase Hydration,Chia Fresca,Vegetarian
37,49,Dust,Mental Clarity,Orange Mint Water,None
22,47,Light Rain,Increase Hydration,Orange Mint Water,Sugar-Free
25,79,Sunny,Boost Immunity,Spinach Soup,Sugar-Free
35,55,Heavy Thunderstorm,Weight Loss,Elderberry Tea,Vegan
31,61,Sleet,Gut Health,Cabbage Soup,Vegetarian
39,47,Mostly Sunny,Boost Immunity,Kale and Apple Salad,Dairy-Free
21,49,Light Rain,Boost Immunity,Chicken Wrap,Vegetarian
16,71,Light Rain,High Protein,Pineapple Smoothie,Gluten-Free
16,89,Smoke,Increase Hydration,Turkey Sandwich,Vegan
18,86,Light Thunderstorm,Weight Loss,Mint Tea,Low Fat
25,44,Rain,Weight Loss,Avocado Smoothie,Dairy-Free
30,40,Windy,Boost Immunity,Lentil Soup,Low Sodium
16,69,Mostly Sunny,High Protein,Salmon Salad,Low Sodium
36,77,Thunderstorm,High Protein,Chilled Berry Smoothie,Low Fat
20,90,Cloudy,High Protein,Kimchi,Keto-Friendly
34,87,Fog,Mental Clarity,Herbal Ginger Tea,Low Carb
36,82,Sunny,High Protein,Coconut Milkshake,Keto-Friendly
30,60,Sleet,Increase Hydration,Carrot Juice,Vegetarian
29,43,Sunny,Mental Clarity,Mushroom Soup,Dairy-Free
23,71,Windy,Increase Hydration,Salmon Salad,Dairy-Free
38,63,Overcast,High Protein,Watermelon,Vegan
